,,High,Low
SLOPE,High,590,269
SLOPE,Low,171,0
SLOPE,Medium,144,0
PROXIMITY_TO_RIVER,High,739,269
PROXIMITY_TO_RIVER,Low,38,0
PROXIMITY_TO_RIVER,Medium,128,0
PROXIMITY_TO_FOREST,High,569,80
PROXIMITY_TO_FOREST,Low,213,51
PROXIMITY_TO_FOREST,Medium,123,138
STREET_DENSITY,High,778,184
STREET_DENSITY,Low,13,2
STREET_DENSITY,Medium,114,83
ELEVATION,High,180,236
ELEVATION,Low,403,0
ELEVATION,Medium,322,33
LAND_USE,Farmland,180,2
LAND_USE,Greenland,725,267
SOIL_TYPE,L,99,5
SOIL_TYPE,LT,137,2
SOIL_TYPE,T,642,261
SOIL_TYPE,Unknown,10,1
SOIL_TYPE,sL,17,0
