fid,flaeche_ha,oid,flood_risk_probability,actualValue
1,0.3764,DEBWL0010004I7WPFL,0.798,1
2,0.2454,DEBWL0010004I6ZaFL,0.842,1
3,0.2454,DEBWL0010004I6ZcFL,0.842,1
4,0.0642,DEBWL0010004I7vLFL,0.791,1
5,0.1906,DEBWL0010004I74XFL,0.67,1
6,0.1906,DEBWL0010004I75dFL,0.759,1
7,0.6643,DEBWL0010004I6YxFL,0.772,1
8,0.6643,DEBWL0010004I6YzFL,0.772,1
9,0.1703,DEBWL001000haau5FL,0.772,1
10,0.1703,DEBWL0010004I6WOFL,0.769,1
11,0.9906,DEBWL0010004I82zFL,0.716,1
12,0.9906,DEBWL0010004I82BFL,0.746,1
13,0.9906,DEBWL0010004I75BFL,0.772,1
14,0.9906,DEBWL0010004I74kFL,0.746,1
15,0.9906,DEBWL0010004I74GFL,0.746,1
16,0.9906,DEBWL0010004I74JFL,0.772,1
17,0.9906,DEBWL0010004I75zFL,0.772,1
18,0.7494,DEBWL0010004I87VFL,0.782,1
19,0.7494,DEBWL0010004I7ugFL,0.782,1
20,0.7494,DEBWL0010004I7ujFL,0.77,1
21,0.7494,DEBWL0010004I7ucFL,0.719,1
22,0.7494,DEBWL0010004I7uJFL,0.75,1
23,0.7494,DEBWL0010004I7uLFL,0.743,1
24,0.7494,DEBWL0010004I7u9FL,0.743,1
25,0.7494,DEBWL0010004I7uGFL,0.726,1
26,0.7494,DEBWL0010004I7vrFL,0.782,1
27,0.7494,DEBWL0010004I7u2FL,0.719,1
28,0.7494,DEBWL0010004I7tqFL,0.767,1
29,0.7494,DEBWL0010004I7tZFL,0.782,1
30,0.7494,DEBWL0010004I7tIFL,0.75,1
31,0.7494,DEBWL0010004I7tPFL,0.75,1
32,0.7494,DEBWL0010004I7tFFL,0.75,1
33,1.3143,DEBWL0010004I6XVFL,0.743,1
34,1.3143,DEBWL0010004I6XMFL,0.782,1
35,1.3143,DEBWL0010004I6XPFL,0.749,1
36,1.3143,DEBWL0010004I6XFFL,0.782,1
37,1.3143,DEBWL0010004I7WCFL,0.743,1
38,1.3143,DEBWL0010004I7WHFL,0.722,1
39,1.3143,DEBWL0010004I6XJFL,0.722,1
40,1.3143,DEBWL0010004I6XCFL,0.722,1
41,1.3143,DEBWL0010004I6XyFL,0.722,1
42,1.3143,DEBWL0010004I74MFL,0.76,1
43,1.3143,DEBWL0010004I6YdFL,0.722,1
44,0.3379,DEBWL0010004I84EFL,0.801,1
45,0.3379,DEBWL0010004I84KFL,0.801,1
46,0.3379,DEBWL0010004I7eEFL,0.801,1
47,0.3379,DEBWL0010004I7fjFL,0.801,1
48,0.8278,DEBWL0010004I6QiFL,0.772,1
49,0.8278,DEBWL0010004I6QlFL,0.772,1
50,0.8278,DEBWL0010004I6WMFL,0.769,1
51,0.2194,DEBWL0010004I7WMFL,0.801,1
52,0.2194,DEBWL0010004I6YFFL,0.801,1
53,1.9631,DEBWL0010004I6XFFL,0.782,1
54,1.9631,DEBWL0010004I6YbFL,0.719,1
55,1.9631,DEBWL0010004I6XiFL,0.744,1
56,1.9631,DEBWL0010004I6X6FL,0.744,1
57,1.9631,DEBWL0010004I7vCFL,0.81,1
58,1.9631,DEBWL0010004I7ukFL,0.81,1
59,1.9631,DEBWL0010004I74iFL,0.716,1
60,1.9631,DEBWL0010004I74bFL,0.868,1
61,1.9631,DEBWL0010004I74OFL,0.782,1
62,1.9631,DEBWL0010004I74TFL,0.782,1
63,1.9631,DEBWL0010004I74FFL,0.757,1
64,1.9631,DEBWL0010004I74IFL,0.757,1
65,1.9631,DEBWL0010004I74MFL,0.76,1
66,1.9631,DEBWL0010004I7vGFL,0.81,1
67,1.9631,DEBWL0010004I7vIFL,0.868,1
68,1.9631,DEBWL0010004I74CFL,0.795,1
69,1.9631,DEBWL0010004I6YfFL,0.76,1
70,1.9631,DEBWL0010004I88bFL,0.868,1
71,1.9631,DEBWL0010004I74VFL,0.81,1
72,0.837,DEBWL0010004I6YJFL,0.798,1
73,0.3172,DEBWL0010004I75EFL,0.772,1
74,0.3172,DEBWL0010004I751FL,0.772,1
75,2.5262,DEBWL0010004I84HFL,0.767,1
76,2.5262,DEBWL0010004I84FFL,0.767,1
77,2.5262,DEBWL0010004I84IFL,0.716,1
78,2.5262,DEBWL0010004I74qFL,0.767,1
79,2.5262,DEBWL0010004I7vOFL,0.798,1
80,2.5262,DEBWL0010004I7faFL,0.767,1
81,2.5262,DEBWL0010004I7fdFL,0.767,1
82,2.5262,DEBWL0010004I7fcFL,0.743,1
83,2.5262,DEBWL0010004I7f6FL,0.767,1
84,2.5262,DEBWL0010004I7f5FL,0.767,1
85,2.5262,DEBWL0010004I7f9FL,0.767,1
86,2.5262,DEBWL0010004I7f7FL,0.746,1
87,2.5262,DEBWL0010004I7f0FL,0.778,1
88,2.5262,DEBWL0010004I7f2FL,0.749,1
89,2.5262,DEBWL0010004I7f1FL,0.767,1
90,2.5262,DEBWL0010004I7eZFL,0.767,1
91,2.5262,DEBWL0010004I7eXFL,0.767,1
92,2.5262,DEBWL0010004I7eMFL,0.767,1
93,2.5262,DEBWL0010004I7ePFL,0.767,1
94,2.5262,DEBWL0010004I7eRFL,0.767,1
95,2.5262,DEBWL0010004I7eUFL,0.767,1
96,2.5262,DEBWL0010004I7ffFL,0.758,1
97,2.5262,DEBWL0010004I7fpFL,0.801,1
98,2.5262,DEBWL0010004I7qfFL,0.782,1
99,2.5262,DEBWL0010004I88aFL,0.788,1
100,0.5096,DEBWL0010004I6ZmFL,0.801,1
101,0.5096,DEBWL0010004I6ZoFL,0.772,1
102,0.4302,DEBWL0010004I6ZgFL,0.842,1
103,0.4302,DEBWL0010004I6ZZFL,0.842,1
