date,rainfall_amount,rainfall_amount_class
2023-07-31,0.6,Medium
2023-08-01,19.0,High
2023-08-02,42.5,High
2023-08-03,1.2,Medium
2023-08-04,11.9,High
2023-08-05,2.5,Medium
2023-08-06,14.2,High
2023-08-07,1.6,Medium
2023-08-08,0.3,Medium
2023-08-09,5.9,High
2023-08-10,0.0,Low
2023-08-11,0.0,Low
2023-08-12,6.7,High
2023-08-13,3.0,Medium
2023-08-14,1.9,Medium
2023-08-15,1.2,Medium
2023-08-16,7.3,High
2023-08-17,0.5,Medium
2023-08-18,0.0,Low
2023-08-19,0.0,Low
2023-08-20,0.0,Low
2023-08-21,0.8,Medium
2023-08-22,0.2,Medium
2023-08-23,0.0,Low
2023-08-24,0.8,Medium
2023-08-25,0.4,Medium
2023-08-26,9.3,High
2023-08-27,5.2,High
2023-08-28,2.5,Medium
2023-08-29,14.6,High
2023-08-30,3.7,High
2023-08-31,2.1,Medium
2023-09-01,8.0,High
2023-09-02,0.0,Low
2023-09-03,0.0,Low
2023-09-04,0.0,Low
2023-09-05,0.0,Low
2023-09-06,0.0,Low
2023-09-07,0.0,Low
2023-09-08,0.0,Low
2023-09-09,0.0,Low
2023-09-10,0.0,Low
2023-09-11,0.0,Low
2023-09-12,0.0,Low
2023-09-13,0.6,Medium
2023-09-14,0.6,Medium
2023-09-15,0.0,Low
2023-09-16,0.0,Low
2023-09-17,0.0,Low
2023-09-18,2.4,Medium
2023-09-19,1.6,Medium
2023-09-20,0.0,Low
2023-09-21,8.3,High
2023-09-22,8.7,High
2023-09-23,0.0,Low
2023-09-24,0.0,Low
2023-09-25,0.0,Low
2023-09-26,0.0,Low
2023-09-27,0.0,Low
2023-09-28,0.0,Low
2023-09-29,0.5,Medium
2023-09-30,0.8,Medium
2023-10-01,0.0,Low
2023-10-02,0.0,Low
2023-10-03,8.5,High
2023-10-04,0.0,Low
2023-10-05,0.0,Low
2023-10-06,0.0,Low
2023-10-07,0.0,Low
2023-10-08,0.0,Low
2023-10-09,0.0,Low
2023-10-10,0.0,Low
2023-10-11,0.0,Low
2023-10-12,1.1,Medium
2023-10-13,0.0,Low
2023-10-14,16.1,High
2023-10-15,2.2,Medium
2023-10-16,0.0,Low
2023-10-17,0.0,Low
2023-10-18,7.4,High
2023-10-19,15.6,High
2023-10-20,6.7,High
2023-10-21,0.3,Medium
2023-10-22,0.0,Low
2023-10-23,0.8,Medium
2023-10-24,11.1,High
2023-10-25,6.5,High
2023-10-26,10.7,High
2023-10-27,8.1,High
2023-10-28,2.8,Medium
2023-10-29,0.5,Medium
2023-10-30,11.1,High
2023-10-31,8.9,High
2023-11-01,0.7,Medium
2023-11-02,1.7,Medium
2023-11-03,1.8,Medium
2023-11-04,8.9,High
2023-11-05,9.4,High
2023-11-06,0.4,Medium
2023-11-07,0.8,Medium
2023-11-08,0.0,Low
2023-11-09,0.4,Medium
2023-11-10,2.3,Medium
2023-11-11,7.4,High
2023-11-12,4.8,High
2023-11-13,22.9,High
2023-11-14,6.9,High
2023-11-15,13.0,High
2023-11-16,18.0,High
2023-11-17,11.8,High
2023-11-18,3.1,Medium
2023-11-19,14.0,High
2023-11-20,7.0,High
2023-11-21,3.7,High
2023-11-22,0.4,Medium
2023-11-23,0.1,Medium
2023-11-24,14.6,High
2023-11-25,3.1,Medium
2023-11-26,0.6,Medium
2023-11-27,6.2,High
2023-11-28,8.5,High
2023-11-29,0.1,Medium
2023-11-30,1.1,Medium
2023-12-01,1.1,Medium
2023-12-02,0.1,Medium
2023-12-03,0.0,Low
2023-12-04,0.3,Medium
2023-12-05,3.7,High
2023-12-06,6.6,High
2023-12-07,0.0,Low
2023-12-08,7.1,High
2023-12-09,12.4,High
2023-12-10,7.2,High
2023-12-11,5.1,High
2023-12-12,12.4,High
2023-12-13,10.3,High
2023-12-14,2.7,Medium
2023-12-15,0.8,Medium
2023-12-16,0.2,Medium
2023-12-17,0.0,Low
2023-12-18,0.0,Low
2023-12-19,0.1,Medium
2023-12-20,7.0,High
2023-12-21,11.0,High
2023-12-22,18.5,High
2023-12-23,7.8,High
2023-12-24,14.6,High
2023-12-25,0.0,Low
2023-12-26,0.4,Medium
2023-12-27,0.2,Medium
2023-12-28,3.2,Medium
2023-12-29,0.3,Medium
2023-12-30,1.1,Medium
2023-12-31,2.8,Medium
2024-01-01,2.9,Medium
2024-01-02,11.9,High
2024-01-03,13.9,High
2024-01-04,5.2,High
2024-01-05,0.6,Medium
2024-01-06,0.2,Medium
2024-01-07,0.9,Medium
2024-01-08,0.0,Low
2024-01-09,0.0,Low
2024-01-10,0.0,Low
2024-01-11,0.0,Low
2024-01-12,0.0,Low
2024-01-13,0.0,Low
2024-01-14,0.0,Low
2024-01-15,0.1,Medium
2024-01-16,0.0,Low
2024-01-17,8.5,High
2024-01-18,4.7,High
2024-01-19,0.0,Low
2024-01-20,0.0,Low
2024-01-21,0.0,Low
2024-01-22,7.7,High
2024-01-23,6.5,High
2024-01-24,4.8,High
2024-01-25,3.0,Medium
2024-01-26,5.9,High
2024-01-27,0.0,Low
2024-01-28,0.0,Low
2024-01-29,0.0,Low
2024-01-30,0.2,Medium
2024-01-31,0.0,Low
2024-02-01,9.2,High
2024-02-02,0.3,Medium
2024-02-03,0.2,Medium
2024-02-04,1.1,Medium
2024-02-05,0.0,Low
2024-02-06,0.0,Low
2024-02-07,8.3,High
2024-02-08,10.8,High
2024-02-09,8.1,High
2024-02-10,2.2,Medium
2024-02-11,12.8,High
2024-02-12,1.3,Medium
2024-02-13,1.1,Medium
2024-02-14,0.4,Medium
2024-02-15,0.0,Low
2024-02-16,1.0,Medium
2024-02-17,4.5,High
2024-02-18,3.4,High
2024-02-19,11.4,High
2024-02-20,2.9,Medium
2024-02-21,0.5,Medium
2024-02-22,17.8,High
2024-02-23,1.7,Medium
2024-02-24,0.1,Medium
2024-02-25,0.0,Low
2024-02-26,1.3,Medium
2024-02-27,1.5,Medium
2024-02-28,0.1,Medium
2024-02-29,0.0,Low
2024-03-01,3.0,Medium
2024-03-02,0.0,Low
2024-03-03,0.0,Low
2024-03-04,0.3,Medium
2024-03-05,2.2,Medium
2024-03-06,9.4,High
2024-03-07,0.2,Medium
2024-03-08,0.0,Low
2024-03-09,0.1,Medium
2024-03-10,9.7,High
2024-03-11,1.4,Medium
2024-03-12,5.7,High
2024-03-13,8.7,High
2024-03-14,0.0,Low
2024-03-15,3.9,High
2024-03-16,1.7,Medium
2024-03-17,0.1,Medium
2024-03-18,3.1,Medium
2024-03-19,0.1,Medium
2024-03-20,0.0,Low
2024-03-21,0.6,Medium
2024-03-22,0.0,Low
2024-03-23,13.9,High
2024-03-24,5.6,High
2024-03-25,0.4,Medium
2024-03-26,0.0,Low
2024-03-27,7.1,High
2024-03-28,0.6,Medium
2024-03-29,2.8,Medium
2024-03-30,0.0,Low
2024-03-31,2.1,Medium
2024-04-01,8.6,High
2024-04-02,1.8,Medium
2024-04-03,9.7,High
2024-04-04,7.0,High
2024-04-05,0.7,Medium
2024-04-06,0.0,Low
2024-04-07,0.0,Low
2024-04-08,0.1,Medium
2024-04-09,1.5,Medium
2024-04-10,0.2,Medium
2024-04-11,0.0,Low
2024-04-12,0.0,Low
2024-04-13,0.0,Low
2024-04-14,0.0,Low
2024-04-15,8.9,High
2024-04-16,14.4,High
2024-04-17,6.9,High
2024-04-18,3.2,Medium
2024-04-19,14.6,High
2024-04-20,3.2,Medium
2024-04-21,4.8,High
2024-04-22,0.9,Medium
2024-04-23,0.0,Low
2024-04-24,3.3,High
2024-04-25,1.8,Medium
2024-04-26,0.3,Medium
2024-04-27,0.0,Low
2024-04-28,0.0,Low
2024-04-29,0.0,Low
2024-04-30,0.0,Low
2024-05-01,0.0,Low
2024-05-02,6.7,High
2024-05-03,0.8,Medium
2024-05-04,0.1,Medium
2024-05-05,5.1,High
2024-05-06,5.6,High
2024-05-07,0.9,Medium
2024-05-08,0.8,Medium
2024-05-09,0.0,Low
2024-05-10,0.0,Low
2024-05-11,0.0,Low
2024-05-12,0.0,Low
2024-05-13,3.6,High
2024-05-14,0.0,Low
2024-05-15,8.0,High
2024-05-16,5.3,High
2024-05-17,48.7,High
2024-05-18,11.6,High
2024-05-19,1.0,Medium
2024-05-20,0.0,Low
2024-05-21,10.1,High
2024-05-22,2.0,Medium
2024-05-23,3.8,High
2024-05-24,5.9,High
2024-05-25,0.3,Medium
2024-05-26,0.4,Medium
2024-05-27,3.2,Medium
2024-05-28,0.7,Medium
2024-05-29,8.3,High
2024-05-30,10.8,High
2024-05-31,29.0,High
2024-06-01,25.1,High
2024-06-02,34.0,High
2024-06-03,0.3,Medium
2024-06-04,0.0,Low
2024-06-05,0.5,Medium
2024-06-06,2.8,Medium
2024-06-07,0.1,Medium
2024-06-08,2.3,Medium
2024-06-09,0.1,Medium
2024-06-10,0.4,Medium
2024-06-11,0.2,Medium
2024-06-12,0.3,Medium
2024-06-13,0.0,Low
2024-06-14,1.9,Medium
2024-06-15,13.0,High
2024-06-16,0.6,Medium
2024-06-17,2.9,Medium
2024-06-18,0.0,Low
2024-06-19,8.8,High
2024-06-20,0.0,Low
2024-06-21,2.3,Medium
2024-06-22,6.4,High
2024-06-23,0.9,Medium
2024-06-24,0.0,Low
2024-06-25,0.0,Low
2024-06-26,8.1,High
2024-06-27,1.1,Medium
2024-06-28,4.1,High
2024-06-29,0.0,Low
2024-06-30,12.2,High
2024-07-01,3.5,High
2024-07-02,2.4,Medium
2024-07-03,13.5,High
2024-07-04,6.4,High
2024-07-05,0.1,Medium
2024-07-06,11.9,High
2024-07-07,0.0,Low
2024-07-08,0.0,Low
2024-07-09,0.0,Low
2024-07-10,9.7,High
2024-07-11,1.0,Medium
2024-07-12,9.9,High
2024-07-13,5.1,High
2024-07-14,0.0,Low
2024-07-15,3.6,High
2024-07-16,0.6,Medium
2024-07-17,0.0,Low
2024-07-18,0.0,Low
2024-07-19,1.3,Medium
2024-07-20,0.0,Low
2024-07-21,1.3,Medium
2024-07-22,2.2,Medium
2024-07-23,7.4,High
2024-07-24,1.0,Medium
2024-07-25,0.0,Low
2024-07-26,0.0,Low
2024-07-27,8.1,High
2024-07-28,2.6,Medium
2024-07-29,0.0,Low
2024-07-30,0.0,Low
2024-07-31,1.2,Medium
